Date,GMV,Users,Marketing_Cost,Frontend_Pods,Backend_Pods
2024-08-31,2450000,36800,83500,,,
2024-09-05,2500000,37500,85000,,,
2024-09-10,2550000,38300,86500,,,
2024-09-15,2600000,39000,88000,,,
2024-09-20,2650000,39800,89500,,,
2024-09-25,2700000,40500,91000,,,
2024-09-30,2750000,41300,92500,,,
2024-10-05,2800000,42000,94000,,,
2024-10-10,2850000,42800,95500,,,
2024-10-15,2900000,43500,97000,,,
2024-10-20,2950000,44300,98500,,,
2024-10-25,3000000,45000,100000,,,
2024-10-31,3050000,45800,101500,,,
2024-11-05,3100000,46500,103000,,,
2024-11-10,3150000,47300,104500,,,
2024-11-15,3200000,48000,106000,,,
2024-11-20,3250000,48800,107500,,,
2024-11-25,3300000,49500,109000,,,
2024-11-30,3350000,50300,110500,,,
2024-12-05,3400000,51000,112000,,,
2024-12-10,3450000,51800,113500,,,
2024-12-15,3500000,52500,115000,,,
2024-12-20,3550000,53300,116500,,,
2024-12-25,3600000,54000,118000,,,
2024-12-31,3650000,54800,119500,,,
